index,phase,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,keff,keff_std,ppf,score
0,LHS,0.10060306745483945,0.9065091631784489,0.10119159596920518,0.9472186372136213,0.9114903141969124,0.1068283497894576,0.8786786722869132,0.10545114532488967,0.8967523525550902,0.9110058008019437,0.9430442497679666,0.8745885383640434,0.0809438338643525,0.8891079651038898,0.077027173239931,0.08500149494286138,0.9436229691089686,0.8877884215836734,0.127464920879991,0.8540567240389654,0.07986555958845608,1.2702031027398688,0.0,1.1031200680999855,-0.10101551369934403
1,LHS,0.12025911466579821,0.8952252620852222,0.138985789050252,0.09351000315660617,0.9123559795622038,0.10853797155039041,0.9099131744258859,0.11556856551428399,0.9011281981404868,0.8693679753669885,0.8568967382211138,0.8752045691951555,0.059519283736087905,0.8613129366616169,0.07805858329597151,0.1092516352087997,0.8843222526934044,0.9277849232001785,0.9465385462498535,0.8831840011237283,0.07362841309420837,1.2703524300727531,0.0,1.1127100711170737,-0.10176215036376557
2,LHS,0.11878313065252609,0.9072665825324812,0.12695571559822422,0.1116915738513074,0.877951847773742,0.14111063170465726,0.9072936461192183,0.12183105259381227,0.9172374682462482,0.9269794147797925,0.9252405894999001,0.8910303890978526,0.05379259883516464,0.8984975011261627,0.9395348384861661,0.06445509526681617,0.9282012401413551,0.9155365882525547,0.9205683237886306,0.07181047310295333,0.05753303477290135,1.270790096380299,0.0,1.1084417259411257,-0.1039504819014947
3,LHS,0.07677821401412963,0.9123233110477629,0.8888581646783263,0.07547967117819093,0.8897060510555665,0.12278904223309105,0.8755517261903524,0.9044717330720469,0.8906387888364183,0.9493070106542796,0.9353857649723,0.12225077158081812,0.10506226863759376,0.8898263625823286,0.11778010396547016,0.1342169059522218,0.8639991463002951,0.8539896769882457,0.0959618214844247,0.8769709148214366,0.13851576339991856,1.271591628075682,0.0,1.1289019024203526,-0.10795814037841023
4,LHS,0.07638330083368138,0.9413097443122241,0.9001048319960588,0.1335001706484917,0.09531424602702077,0.12161493174372016,0.9477959259890134,0.8666075764864825,0.8758007994791375,0.9015620457569125,0.8878514744502297,0.13015306799716952,0.9423436469886206,0.9072626598610231,0.0632707605939611,0.08765375283114885,0.8805454524835046,0.9144954919032323,0.07539941372855236,0.8585034027585806,0.1010505932187789,1.2652013784628027,0.0,1.1292098138023847,-0.07600689231401336
5,LHS,0.07798604474779905,0.8997287912978807,0.08458020327470575,0.926511633753406,0.07584774339327947,0.9230818982469394,0.8614979562006224,0.12804585678233182,0.9497212677885707,0.07814960631850049,0.9499687309103907,0.9121936396634839,0.10701960330504216,0.8755618588386918,0.11701675982756701,0.09465507798924278,0.9093454206732656,0.8979463413895172,0.9282118388791616,0.9027017986932915,0.08332331137544705,1.2680352909814105,0.0,1.1233958869991167,-0.09017645490705273
6,LHS,0.0818391513260019,0.9060460946879613,0.946718259376792,0.06015173286739847,0.8520977375568056,0.09499665494848675,0.8680797540960263,0.14076057272560544,0.10679764400874776,0.9319672429813607,0.931750066138963,0.8511399746550845,0.13800252230381002,0.8925478214744241,0.07265001687659423,0.13678971781091803,0.9333917999500532,0.937241073709495,0.9385718504400299,0.9458358879953417,0.07554612015809002,1.2680821966732914,0.0,1.1065276241990267,-0.09041098336645681
7,LHS,0.07422524918383454,0.8557111833452571,0.12497596009776588,0.88743995280851,0.9169934916567769,0.1302291571350006,0.8755565263769549,0.1492966833040871,0.9098389108009335,0.9390963921199115,0.9014811057633096,0.14108838472538535,0.8988107552253685,0.9309530192956516,0.08773645772718562,0.05003365193889717,0.9225205457373802,0.861446622471721,0.14450992050652076,0.9066189253345122,0.08607724622319943,1.2682356108556434,0.0,1.1245103839379316,-0.09117805427821701
8,LHS,0.12712498287626106,0.9452120419353685,0.09070473324375342,0.9200203032912118,0.0925868785556712,0.8622604394249856,0.8669459696975234,0.1351461815517978,0.09575930749225814,0.8849294354066336,0.8822883596452052,0.884730145596008,0.07937017283566564,0.9290903145171148,0.12038844313096313,0.1095952815846206,0.9292700493185044,0.8611522631245558,0.9338050325055618,0.8743209799062288,0.0613519821102032,1.269929193725316,0.0,1.1064224002865712,-0.09964596862658048
9,LHS,0.10225724666481932,0.8863074619235461,0.9212673751667454,0.9254655095813255,0.9344434513319109,0.06804011374440011,0.915818756589508,0.08416135061779922,0.9169697490471957,0.9229595017485827,0.9322166022994427,0.09344887209188109,0.9001033403264579,0.10685513981382384,0.1039909041655499,0.13111030928987644,0.8837718023591554,0.934843024207547,0.06546327598458085,0.9220284410845381,0.12281877055658447,1.270369283194252,0.0,1.1315508231848646,-0.10184641597125954
