index,generation,individual,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1.2761684817487187,1.1095973691609986,56.261684817487186
1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1.2670022523115314,1.1333926479594483,52.170022523115314
2,1,2,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1.2742753445267034,1.1383919495366064,44.242753445267034
3,1,3,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1.2677359262466972,1.1176136975105693,60.17735926246697
4,1,4,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1.270920827860407,1.1080947251051805,56.209208278604066
5,1,5,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1.271476294300318,1.120599294526719,40.21476294300318
6,1,6,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1.2655668113057008,1.1267681396640719,44.15566811305701
7,1,7,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1.2724258812682228,1.1270398683018348,52.22425881268223
8,1,8,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1.274671244954285,1.1098041170242678,56.24671244954285
9,1,9,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1.2693978109450035,1.11846415210844,52.193978109450036
10,1,10,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1.273532096329335,1.105797442126658,56.23532096329335
11,1,11,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1.271531832035819,1.1180062553297228,48.21531832035819
12,1,12,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1.2689387048378358,1.1101551898577833,48.18938704837836
13,1,13,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1.2718586601969502,1.099001390217768,56.2185866019695
14,1,14,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1.2679182274632443,1.1081128964146922,52.179182274632446
15,1,15,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1.2725334707663185,1.130080308996851,52.22533470766319
16,1,16,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1.2711723221483544,1.1277020315931,48.211723221483545
17,1,17,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1.270286541367667,1.1214821323449988,64.20286541367668
18,1,18,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1.2708223891215678,1.111982333994854,52.20822389121568
19,1,19,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1.274899412811458,1.1174145971177583,44.24899412811458
20,1,20,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1.2695839317771156,1.1188264819456721,52.19583931777115
21,1,21,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1.2673397354124674,1.1104628520316313,48.173397354124674
22,1,22,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1.2729832227401985,1.1117561287318358,60.229832227401985
23,1,23,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1.264397180749051,1.1383459949547183,56.14397180749051
24,1,24,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1.2707973013481122,1.1584537501170387,52.20797301348112
25,1,25,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1.274874606023088,1.1314078501776448,48.24874606023088
26,1,26,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2768999919011847,1.112683584424293,48.26899991901185
27,1,27,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1.272496546896049,1.1332100917992842,60.22496546896049
28,1,28,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1.2709168437207172,1.1190114294858138,44.209168437207175
29,1,29,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1.2729165036404781,1.132302534856294,52.22916503640478
30,1,30,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1.2728782426355232,1.1231427392856108,52.22878242635523
31,1,31,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1.2768377590182243,1.1068280346896662,48.26837759018224
32,1,32,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1.2710773235126818,1.1143990344936276,52.210773235126815
33,1,33,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1.2722883027122995,1.1337902211899105,52.222883027123
34,1,34,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1.2743785554879248,1.1357472509703403,60.243785554879246
35,1,35,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1.2672195102745807,1.1113121012256728,56.1721951027458
36,1,36,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1.2799777373155297,1.1237772620759026,48.299777373155294
37,1,37,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1.2678621921763686,1.114609731786103,56.178621921763686
38,1,38,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1.270958469223917,1.117594772188205,40.20958469223917
39,1,39,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1.274211152088374,1.1328297188169747,52.24211152088374
40,1,40,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1.2718855264629716,1.1470027400232852,48.21885526462972
41,1,41,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1.2753962103652743,1.121923871952662,56.25396210365274
42,1,42,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1.2779815183864776,1.1204825860646248,52.27981518386478
43,1,43,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1.2692043516635605,1.1226612166879024,52.19204351663561
44,1,44,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1.271570728217352,1.106646732744847,44.21570728217352
45,1,45,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1.2661294696618606,1.1196680741727711,56.161294696618604
46,1,46,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1.2759326146391359,1.1141356822742743,44.25932614639136
47,1,47,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1.272935068038489,1.1129665624134497,64.2293506803849
48,1,48,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1.2727470468610005,1.1191546667406458,52.22747046861001
49,1,49,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1.2732489046160076,1.1153625304628874,44.232489046160076
50,1,50,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1.2718800530200693,1.115181124044422,44.218800530200696
51,1,51,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1.2677661223612826,1.1186884407757733,48.17766122361282
52,1,52,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1.2720537011463398,1.149806331178289,48.2205370114634
53,1,53,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1.2713696394719316,1.1074351472017934,60.213696394719314
54,1,54,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1.266787524844878,1.1122334666250115,52.16787524844878
55,1,55,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1.2704235089290714,1.1334324315764637,52.20423508929071
56,1,56,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1.277418089053928,1.1165142756697903,52.27418089053928
57,1,57,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1.2679489263871564,1.1108949172207072,52.17948926387157
58,1,58,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1.2723708594100376,1.1193237540697587,52.22370859410037
59,1,59,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1.2644805243342916,1.1190886356161145,52.144805243342915
60,1,60,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1.2752961279342656,1.1218829563497896,60.25296127934266
61,1,61,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1.2715223704901921,1.1329129678338004,56.21522370490192
62,1,62,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1.2689167578335978,1.1113667153039841,48.189167578335976
63,1,63,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1.271238319806545,1.124112286576838,56.212383198065446
64,1,64,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1.2661064207550397,1.1303871749887013,52.161064207550396
65,1,65,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1.2704331439246916,1.1275714526042069,52.204331439246914
66,2,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1.270958469223911,1.117594772188205,40.20958469223911
67,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1.2709584692239229,1.117594772188205,40.209584692239225
68,2,2,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1.2714762943003135,1.1205992945267191,40.21476294300314
69,2,3,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1.2721767116631275,1.135107457365143,44.22176711663128
70,2,4,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1.2747907551324567,1.1147002987774701,44.247907551324566
71,2,5,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1.2715873462901364,1.1513495948780117,56.215873462901364
72,2,6,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1.2727771906358503,1.1058753977046931,48.227771906358505
73,2,7,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1.2665332061794394,1.1174244892400018,40.165332061794395
74,2,8,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1.2709198329936717,1.151259079198479,44.20919832993672
75,2,9,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1.2687718533802255,1.1154627682707636,44.187718533802254
76,2,10,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.2715285669656509,1.1383795833709671,48.21528566965651
77,2,11,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1.2707691290760443,1.1222050360860145,52.207691290760444
78,2,12,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1.2668748125972056,1.131178369101476,40.16874812597206
79,2,13,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1.2684516806786255,1.111083507007594,44.184516806786256
80,2,14,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2705860089608378,1.1396171486612061,52.20586008960838
81,2,15,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1.2709168437207194,1.1190114294858142,44.2091684372072
82,2,16,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2768999919011699,1.1126835844242924,48.2689999190117
83,2,17,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1.2748746060230922,1.1314078501776454,48.24874606023092
84,2,18,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1.2748746060230849,1.1314078501776448,48.24874606023085
85,2,19,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1.2704331439246945,1.1275714526042067,52.20433143924694
86,2,20,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1.2689167578336387,1.1113667153039837,48.18916757833639
87,2,21,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1.2709168437207214,1.119011429485814,44.20916843720721
88,2,22,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1.2748994128114501,1.117414597117758,44.248994128114504
89,2,23,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1.2680536924767556,1.118036409014442,44.18053692476756
90,2,24,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1.2712194213597818,1.1135059238192841,52.21219421359782
91,2,25,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1.2722065130594862,1.1169555286878143,40.22206513059486
92,2,26,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1.2676022276044665,1.1198230351213505,44.17602227604466
93,2,27,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1.27481691624871,1.1123505088487797,48.2481691624871
94,2,28,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1.2693252938165438,1.1113911357751713,48.193252938165436
95,2,29,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1.2679182274632528,1.108112896414692,52.17918227463253
96,2,30,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1.2679489263871473,1.1108949172207074,52.179489263871474
97,2,31,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1.267948926387171,1.1108949172207072,52.17948926387171
98,2,32,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1.2655668113056961,1.1267681396640719,44.15566811305696
99,2,33,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1.2731241096541983,1.1127471153388473,48.231241096541986
100,2,34,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1.2709584692238687,1.1175947721882045,40.209584692238685
101,2,35,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1.2722924579288293,1.11697054725687,48.22292457928829
102,2,36,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1.2650932316229608,1.1235854448999008,52.15093231622961
103,2,37,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.269901363410077,1.1201128267809508,60.19901363410077
104,2,38,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1.2715128706817214,1.1129967199417972,40.21512870681721
105,2,39,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1.2732489046160018,1.1153625304628874,44.23248904616002
106,2,40,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1.270465488967131,1.1183269951271149,56.20465488967131
