index,episode,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2715242632640462,1.121214168592446,56.107621316320234
1,2,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2731348014797441,1.1047682053661312,44.115674007398724
2,3,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2694189304549675,1.1259730535080748,68.09709465227483
3,4,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1.2740854637377728,1.1209582847998254,44.12042731868886
4,5,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.275041360866515,1.1634910660235962,64.12520680433258
5,6,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2685379992570665,1.119068235485993,56.09268999628533
6,7,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1.2721075748216613,1.1100375736348222,48.1105378741083
7,8,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.264062399406757,1.1204884563815518,68.07031199703378
8,9,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1.2743487178133353,1.126613447090101,52.121743589066675
9,10,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2733546645959246,1.1519337644558718,56.116773322979626
10,11,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2743513564543003,1.1136179086055145,52.121756782271504
11,12,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1.2737712095994962,1.1206791897362338,48.11885604799748
12,13,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1.271899776580251,1.1153467729604056,52.109498882901256
13,14,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2737695642066127,1.141230757801003,44.118847821033064
14,15,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2687294356969496,1.13667623022365,52.09364717848475
15,16,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699013634100789,1.120112826780951,60.0995068170504
16,17,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2732088259746028,1.116884261927527,52.11604412987302
17,18,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1.2669305513263354,1.1156570709507159,44.08465275663168
18,19,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067937,1.120488456381552,68.07031199703397
19,20,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.271276681006514,1.1316691538224195,52.10638340503257
20,21,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2750413608665088,1.163491066023596,64.12520680433255
21,22,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532915,1.121855858326457,48.14592017626646
22,23,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067912,1.1204884563815523,68.07031199703395
23,24,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2727354361251642,1.120690648770361,56.11367718062582
24,25,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2682558762828697,1.1575955224891705,52.091279381414346
25,26,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1.2706976995803838,1.1213605449559905,48.10348849790192
26,27,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694756,1.1224187782037884,64.10697993634737
27,28,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1.2713959872694849,1.1224187782037887,64.10697993634743
28,29,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2687294356969443,1.1366762302236506,52.09364717848472
29,30,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2705860089608496,1.1396171486612057,52.102930044804246
30,31,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1.2703667692333982,1.1128338990247328,56.10183384616699
31,32,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2688871375042328,1.1595184791793898,60.09443568752116
32,33,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532953,1.1218558583264577,48.14592017626648
33,34,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2692142885560942,1.1132925726860003,40.09607144278047
34,35,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2698452712610968,1.097048479354837,64.09922635630548
35,36,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2681178880510464,1.106765546664658,52.09058944025523
36,37,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1.270830739622971,1.1165062734837894,52.10415369811486
37,38,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2715242632640371,1.1212141685924455,56.107621316320184
38,39,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2680422372682831,1.1248411871092125,60.09021118634141
39,40,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1.275288645352979,1.1262395966888168,52.1264432267649
40,41,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1.2694189304549566,1.1259730535080748,68.09709465227478
41,42,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2701695037377998,1.1196625499150408,48.100847518689
42,43,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699741982348938,1.1195768404795157,64.09987099117447
43,44,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1.2690932004824478,1.1194442447733095,48.09546600241224
44,45,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1.2711113902721054,1.1326282741757157,48.105556951360526
45,46,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1.2729131785960661,1.1190738746674065,52.11456589298033
46,47,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2678790287842,1.1293935627954697,52.089395143921
47,48,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1.268846772836132,1.102829222782982,68.09423386418067
48,49,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699013634101064,1.1201128267809513,60.09950681705053
49,50,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2672648725154207,1.1165273098596544,56.0863243625771
50,51,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2698814802212208,1.129236060320482,52.099407401106106
